Date,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Cryptoname,FAGI,RSI
2021-09-28,2923.59,2969.00,2781.00,2803.5,2369096.762,2021-09-29,6842995160.86560,2966697,1173294.917,3390537974.26984,ETHUSDT,25,39.59879778713254
2021-09-29,2803.34,2949.00,2780.00,2848.38,1856317.865,2021-09-30,5329924985.42150,2436419,926064.435,2659649226.63042,ETHUSDT,24,41.05571208538567
2021-09-30,2848.38,3049.30,2835.29,2999.45,2159101.897,2021-10-01,6442115144.18377,2898060,1087424.716,3244448322.87048,ETHUSDT,20,45.79524830348866
2021-10-01,2999.45,3331.56,2967.10,3308.58,2414202.176,2021-10-02,7658451348.34575,3091228,1249478.821,3964223446.03096,ETHUSDT,27,53.95415834312813
2021-10-02,3308.59,3471.58,3257.05,3387.25,1587338.885,2021-10-03,5321010602.50726,2257696,796946.629,2671828419.74488,ETHUSDT,54,55.77839817725043
2021-10-03,3387.24,3489.22,3340.00,3418.25,1314004.609,2021-10-04,4489154260.98601,2060929,649951.335,2221133318.73670,ETHUSDT,49,56.50957496916479
2021-10-04,3418.21,3440.00,3268.81,3386.12,1961769.087,2021-10-05,6593223607.91670,2748043,969487.339,3259406716.14921,ETHUSDT,54,55.48557085397563
2021-10-05,3386.12,3549.90,3363.56,3517.64,1476768.109,2021-10-06,5084407350.48579,2120567,735674.958,2533180707.62793,ETHUSDT,59,58.77840748947507
2021-10-06,3517.64,3638.00,3339.67,3576.85,2134235.566,2021-10-07,7490086402.70969,2853918,1047758.456,3677833545.88089,ETHUSDT,68,60.205589606829435
2021-10-07,3576.90,3659.98,3470.37,3589.85,1809003.003,2021-10-08,6469443460.61853,2504305,880484.045,3149976372.48563,ETHUSDT,76,60.528713362012454
2021-10-08,3589.85,3675.41,3531.00,3563.81,1501949.850,2021-10-09,5420718273.95965,2075941,720668.640,2601563902.92571,ETHUSDT,74,59.48675726748208
2021-10-09,3563.82,3639.00,3538.10,3577.8,907875.164,2021-10-10,3261401758.35606,1418747,445053.052,1599055736.57207,ETHUSDT,72,59.886280763514
2021-10-10,3577.65,3607.55,3402.12,3415.01,1518799.428,2021-10-11,5358091720.90991,2016636,721059.813,2544938381.98907,ETHUSDT,71,53.299635823640706
